Nom de la tâche,État,Personne assignée,Date d’échéance,Priorité,Type de tâche,Description,Niveau d’effort
,Pas commencé,,,,,,
[FEATURE] - Immatriculation du véhicule,Pas commencé,,,Faible,Fonctionnalité,"Lorsqu’on tape l’immatriculation, rajouter les tirets automatiquement",Faible
[TEST] - Alertes et notifications,Pas commencé,,,Moyenne,TEST,"Recenser les alertes présentes dans l’application (fin de leasing, entretien à venir, …)",Faible
[TEST] - Alertes et notifications test,Pas commencé,,,Moyenne,TEST,"Tester les alertes de l’applications, déclencher une fin de leasing",Moyenne
[TASK] - modules timeline et notification,Pas commencé,,,Élevée,Tâche,"Vérifier la différence entre le module timeLine et le module de notifications, voir pour simplifier l’un des deux",Faible
[FEATURE] - échéance d’entretien,Pas commencé,,,Faible,Fonctionnalité,"Actuellement une vidange est estimée selon le kilmétrage, ca serait plutôt à une date anniversaire chaque année",Faible
[FEATURE] - Evènements manuels,Pas commencé,,,Faible,Fonctionnalité,"Dans évènement manuel, rajouter dans la liste de sélection des véhicules les véhicules déjà enregistrés dans l’outil",Faible
[TASK] - Import de données,Pas commencé,,,Faible,Tâche,Proposer un format de fichier pour importer des fiches de véhicules clients déjà existants (réfléchir sur la proposition),Moyenne
[FEATURE] - Notifications,Pas commencé,,,Moyenne,Fonctionnalité,"Dans les notifications, au lieu de la planification d’un rendez-vous, il faudrait programmer un rappel pour le client",Faible
[TASK] - Entretien véhicules,Pas commencé,,,Moyenne,Tâche,"Vérifier la pertinence des entretiens nécessaires et pré enregistrés dans l’application (les véhicules élec, diesels, essences n’ont pas les mêmes types ou échéances d’entretien)",Moyenne
[FEATURE] - Enregistrement véhicule,Pas commencé,,,Faible,Fonctionnalité,Retravailler le pré-remplissage des informations avec le VIN,Faible
[FEATURE] - plugin client - Infos voiture,Pas commencé,,,Moyenne,Fonctionnalité,"informations sur la voiture (infos sur chaque voyant, que faire dans chaque cas, aide précise pour le client sur son environnement en ligne)",Moyenne
[FEATURE] - toggle notification côté client,Pas commencé,,,Faible,Fonctionnalité,le client devrait avoir quelques toggles pour activer / désactiver les notifications ou offres commerciales mails et tel,Faible
[FEATURE] - LOA - outils LOA,Pas commencé,,,Moyenne,Fonctionnalité,dans un LOA il est toujours possible de revoir la limite kilométrique à la hausse et ca devrait être simplifié et informé au client,Faible
[FEATURE] - entretien véhicule - échéances pneus,Pas commencé,,,Moyenne,Fonctionnalité,"rajouter des échéances pour la pose de pneus hiver ou été, ca permettra de programmer en avance ces poses ",Faible
[FEATURE] - CHATBOT,Pas commencé,,,Moyenne,Fonctionnalité,"côté client, le chatbot est là pour aider à la prise de rendez-vous sur tous les terrains (entretiens, pneus, fin de leasing, essai de véhicule, etc) et côté commercial, les notifications peuvent être labellisés chatbot pour préciser que le client a utilisé cet outil et la notification peut être concise et aller directement au point.",Élevé
